Date,Open
Apr 23 2020,7121.31
Apr 22 2020,6879.44
Apr 21 2020,6879.78
Apr 20 2020,7186.87
Apr 19 2020,7260.92
Apr 18 2020,7092.29
Apr 17 2020,7116.55
Apr 16 2020,6640.45
Apr 15 2020,6845.56
Apr 14 2020,6843.28
Apr 13 2020,6965.62
Apr 12 2020,6858.07
Apr 11 2020,6867.44
Apr 10 2020,7303.82
Apr 09 2020,7337.97
Apr 08 2020,7179.28
Apr 07 2020,7273.64
Apr 06 2020,6788.05
Apr 05 2020,6862.54
Apr 04 2020,6738.38
Apr 03 2020,6797.40
Apr 02 2020,6606.78
Apr 01 2020,6437.32
Mar 31 2020,6430.61
Mar 30 2020,5925.54
Mar 29 2020,6245.62
Mar 28 2020,6467.25
Mar 27 2020,6719.39
Mar 26 2020,6675.17
Mar 25 2020,6738.72
Mar 24 2020,6436.64
Mar 23 2020,5831.37
Mar 22 2020,6185.56
Mar 21 2020,6206.52
Mar 20 2020,6191.65
Mar 19 2020,5245.42
Mar 18 2020,5227.11
Mar 17 2020,5002.58
Mar 16 2020,5385.23
Mar 15 2020,5201.07
Mar 14 2020,5573.08
Mar 13 2020,5017.83
Mar 12 2020,7913.62
Mar 11 2020,7910.09
Mar 10 2020,7922.15
Mar 09 2020,8111.15
Mar 08 2020,8908.21
Mar 07 2020,9121.60
Mar 06 2020,9078.31
Mar 05 2020,8760.29
Mar 04 2020,8788.54
Mar 03 2020,8865.39
Mar 02 2020,8563.26
Mar 01 2020,8599.76
Feb 29 2020,8671.21
Feb 28 2020,8788.73
Feb 27 2020,8825.09
Feb 26 2020,9338.29
Feb 25 2020,9651.31
Feb 24 2020,9921.58
Feb 23 2020,9663.32
Feb 22 2020,9687.71
Feb 21 2020,9611.78
Feb 20 2020,9629.33
Feb 19 2020,10143.80
Feb 18 2020,9691.23
Feb 17 2020,9936.56
Feb 16 2020,9889.18
Feb 15 2020,10313.86
Feb 14 2020,10211.55
Feb 13 2020,10323.96
Feb 12 2020,10202.39
Feb 11 2020,9855.89
Feb 10 2020,10115.56
Feb 09 2020,9863.89
Feb 08 2020,9793.07
Feb 07 2020,9726.00
Feb 06 2020,9617.82
Feb 05 2020,9183.42
Feb 04 2020,9292.84
Feb 03 2020,9344.68
Feb 02 2020,9389.82
Feb 01 2020,9346.36
Jan 31 2020,9508.31
Jan 30 2020,9316.02
Jan 29 2020,9357.47
Jan 28 2020,8912.52
Jan 27 2020,8597.31
Jan 26 2020,8364.41
Jan 25 2020,8440.12
Jan 24 2020,8405.57
Jan 23 2020,8680.65
Jan 22 2020,8744.21
Jan 21 2020,8658.99
Jan 20 2020,8704.63
Jan 19 2020,8941.45
Jan 18 2020,8927.21
Jan 17 2020,8725.21
Jan 16 2020,8812.48
Jan 15 2020,8825.34
Jan 14 2020,8140.93
Jan 13 2020,8189.77
Jan 12 2020,8033.26
Jan 11 2020,8162.19
Jan 10 2020,7878.31
Jan 09 2020,8082.30
Jan 08 2020,8161.94
Jan 07 2020,7768.68
Jan 06 2020,7410.45
Jan 05 2020,7410.45
Jan 04 2020,7345.38
Jan 03 2020,6984.43
Jan 02 2020,7202.55
Jan 01 2020,7194.89
Dec 31 2019,7294.44
Dec 30 2019,7420.27
Dec 29 2019,7317.65
Dec 28 2019,7289.03
Dec 27 2019,7238.14
Dec 26 2019,7274.80
Dec 25 2019,7325.76
Dec 24 2019,7354.39
Dec 23 2019,7508.90
Dec 22 2019,7191.19
Dec 21 2019,7220.59
