"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","65.0","69.66666666666666","61.61904761904755","81.285714285714","63.214285714285694","70.4285714285714","70.4285714285714","70.4285714285714","99.26093551050946","80.95173754199695","110.119047619047","110.119047619047","73.6842105263158","78.88888888888889","72.63157894736842","75.88235294117646","79.54545454545455","79.1304347826087","78.7142857142857","74.28571428571429","78.421052631579","96.5217391304348","111.17","134.782608695652","159.444444444444","137.619047619048","123.636363636364","125.12547","130.5","130.9","140.0","156.25","155.0","120.0","130.0","135.333333333333","125.238095238095","132.105263157895","135.92592592592592","137.0","149.25925925925927","146.0","150.0","152.0","155.0","160.0","162.0","166.0","170.0","168.0","176.923076923076","230.0","220.0","227.0","230.5","250.6"
"Bus journey intercity, state route, charg. per per","705.7142857142856","705.7142857142856","705.7142857142856","733.5","733.5","733.5","733.5","733.5","1001.147577876087","1000.06681776938","1031.96428571428","1422.5","1053.125","1053.825","1071.0526315789473","1260.0","1116.66666666666","1211.111111111111","1218.46153846153","1180.55555555555","1180.0","1086.11111111111","947.22","1063.35294117647","1150.0","1086.11111111111","1000.25","1000.012423","1096.875","1090.0","1090.0","1100.0","1150.0","1177.5","1185.0","1163.63636363636","1026.42857142857","935.294117647059","947.368421052632","945.0","961.904761904762","950.0","955.0","957.0","955.0","958.0","960.0","964.0","967.0","970.0","989.23076923076","1000.0","1150.0","1180.0","1260.0","1450.1"
"Air fare charg.for specified routes single journey","20500.0","20500.0","24666.6666666666","20833.3333333333","20666.6666666666","20500.0","22000.0","22000.0","21438.1726507098","21834.4363633112","23500.0","35000.0","34500.0","32000.0","33500.0","33000.0","33500.0","33333.3333333333","33000.0","33000.0","34000.0","34500.0","34000.0","33500.0","33500.0","32500.0","31200.0","31500.0","32500.0","32550.0","32500.0","32500.0","32500.0","32500.0","32600.0","32600.0","32000.375","32000.5","32000.437499938966","32000.0","32000.0","32500.0","32450.0","32470.0","32470.0","32490.0","32500.0","32700.0","32700.0","32740.0","32700.0","32700.0","32700.0","32700.0","37700.0","39700.0"
"Journey by motorcycle (okada) per drop","97.5","86.25","120.0","119.375","119.375","119.375","119.375","114.1176470588235","123.353989372959","126.6164873271575","120.277777777778","130.0","116.0","131.5","137.0","131.428571428571","132.38095238095238","131.5","139.230769230769","131.11111111111111","136.31578947368422","136.5","148.94","125.55555555555556","150.0","138.0952380952381","162.6315789473684","170.147852","168.421052631579","170.0","170.0","180.0","185.0","131.36363636363637","140.0","157.692307692308","156.1904761904762","151.875","149.0909090909091","150.0","158.75","154.0","150.0","153.0","152.0","155.0","155.0","160.0","162.0","165.0","162.5","174.0","179.0","186.0","195.35","200.0"
"Water transport : water way passenger  transportat","380.0","380.798","381.5976758","382.39903091918","381.5976758","381.5976758","381.5976758","381.5976758","444.092438321039","481.369236969468","482.38011236710383","683.393110603075","550.45","550.95","525.54","530.0","542.89","536.4449999999999","550.0","536.76","520.6","510.55","500.0","500.0","520.0","520.0","500.78","500.12354","510.225885","510.0","520.0","550.0","540.0","500.0","520.0","520.0","501.2915","500.2915","500.79125039506226","500.0","500.0","500.5","510.0","505.0","500.0","550.0","553.0","559.0","600.0","607.0","600.0","640.0","640.0","647.0","679.1","688.5"
