"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","61.363636363636346","55.41666666666665","57.0833333333333","69.8333333333333","70.5555555555555","66.060606060606","64.3181818181818","65.57692307692305","103.75","82.14781034373294","95.7575757575757","125.55","100.0","92.72727272727273","95.4545454545455","95.6363636363636","82.2222222222222","83.88","88.5714285714286","87.2857142857143","89.78","85.88","83.33","102.214249777569","112.666666666666","96.25","90.0","91.13","93.33333333333333","95.0","92.0","102.857142857143","100.9","104.0","110.0","125.78947368421052","128.5","135.714285714285","132.1071428571425","135.0","135.166666666666","135.15","137.5","136.0","138.0","140.0","140.0","145.0","148.0","149.0","156.666666666666","182.0","186.0","186.0","195.4","200.78"
"Bus journey intercity, state route, charg. per per","566.6666666666665","510.4166666666665","520.0","659.090909090909","560.416666666667","589.583333333333","550.0","630.0","899.99999999999","811.630245704223","806.249999999999","1099.999999999995","900.0","859.0909090909091","1009.09090909091","1363.6363636363637","1287.5","1298.77","1309.28571428571","1216.66666666666","1227.5","1268.0","1280.7813029369192","1431.97405985933","1486.66666666666","1466.85714285714","1142.66666666666","1200.0","1171.3333333333298","1200.0","1150.0","1200.14285714285","1200.0","1440.0","1400.0","1511.11111111111","1495.0","1467.85","1442.85714285714","1440.0","1433.33333333333","1439.0","1440.0","1443.0","1450.0","1454.0","1455.0","1458.0","1460.0","1464.0","1460.0","1600.0","1635.0","1650.0","1700.0","1850.61"
"Air fare charg.for specified routes single journey","26700.0","26756.07","26812.257747","26868.5634882687","26924.987471594064","26981.529945284412","27038.19115816951","27094.971359601666","27190.8707994568","25770.6805915961","27251.707994568","27133.994568","27152.994568","27152.994568","28750.34","29500.0","29800.44","30000.0","30000.0","30000.0","30092.6666666666","31000.0","31053.1582242823","39109.8651257595","39500.0","39500.0","37000.0","38000.0","37500.0","38000.0","38000.0","38000.0","38500.0","35500.0","35600.0","35600.0","33695.025","33779.005","33737.5","33800.0","33752.85847227595","33500.0","33575.0","33500.0","33570.0","33585.0","33590.0","33600.0","33700.0","33750.0","33750.0","33750.0","33750.0","33750.0","38750.0","39750.0"
"Journey by motorcycle (okada) per drop","69.5833333333333","67.0833333333333","69.99999999999994","102.333333333333","78.05555555555554","79.16666666666666","77.91666666666666","99.16666666666666","80.0","100.122987783068","100.122987783068","130.12298778306752","110.0","103.636363636363","108.181818181818","108.636363636363","101.11111111111111","100.55","100.0","98.5714285714286","101.0","90.71428571428571","88.66","102.73935711746807","118.66666666666667","100.0","135.33333333333334","140.0","137.66666666666669","135.0","140.0","150.818181818182","145.55","177.272727272727","165.0","96.15384615384616","95.83333333333333","94.44444444444444","96.0","95.0","96.25","96.0","95.0","95.0","97.0","98.0","100.0","105.0","100.0","103.0","102.85714285714286","130.0","132.0","137.0","139.7","142.28"
"Water transport : water way passenger  transportat","400.21","401.050441","401.8926469261","402.7366214846448","403.58236838976256","404.42989136338105","405.27919413524415","406.13028044292815","406.9831540318583","481.369236969468","482.38011236710383","483.3931106030748","464.359896824281","464.559896824281","440.89","450.0","425.11","437.755","440.0","420.33","425.0","420.0","431.0404560704774","444.4785732825879","450.0","450.0","400.0","383.33","391.66499999999996","390.0","390.0","413.62602097869205","410.95","400.0","400.0","400.0","398.26","401.842","400.051","400.0","400.0362448942013","400.0","385.0","387.0","385.0","388.0","389.0","394.0","395.0","398.0","395.5","450.0","457.0","462.0","468.6","495.45"
