"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","104.44","105.678","156.071428571429","128.333333333333","121.25","100.0","103.333333333333","105.0","105.5","100.5","100.0","108.777777777777","104.55","105.0","135.71428571428572","141.666666666666","156.666666666667","95.45454545454545","100.23145","96.3636363636364","100.0","110.0","121.875","125.0","103.84615384615384","110.0","128.125","127.5","131.666666666666","132.5","135.0","141.666666666666","140.0","145.0","148.0","150.0","150.0","155.0","157.0","155.0","159.0","145.0","150.0","157.0","162.0","170.0","182.4"
"Bus journey intercity, state route, charg. per per","1406.25","1471.42857142857","1467.5","1487.5","1487.5","1586.66666666666","1606.66666666666","1626.66666666666","1646.66666666666","1635.64944836415","1850.27","2050.27","1535.71428571428","1520.83333333333","1456.66666666666","1523.076923076923","1517.64705882352","1394.1176470588234","1405.55555555555","1400.0","1355.0","1345.55","1516.66","1706.25","1863.33333333333","1727.27272727273","1700.0","1750.326541","1725.45","1750.0","1700.0","1903.33333333333","1900.0","1506.25","1600.0","1572.22222222222","1537.5","1513.33333333333","1527.5","1515.0","1475.0","1490.0","1500.0","1520.0","1510.0","1530.0","1534.0","1600.0","1635.0","1670.0","1650.0","1720.0","1740.0","1782.0","1800.0","1865.12"
"Air fare charg.for specified routes single journey","28000.0","27500.0","25000.0","25000.0","25000.0","25000.0","25052.5","25000.0","25052.5","24425.549511489","24476.843165463128","28000.0","28000.0","28000.0","30000.0","30000.0","29700.34","30000.0","30000.0","30000.0","30060.0","30250.0","30500.6488483696","30000.0","30500.0","30500.0","30000.0","31000.0","30000.0","31500.0","32000.0","32500.0","32550.0","34000.0","34000.0","35000.0","32005.85","34000.0","34500.0","34450.0","35000.0","35000.0","35100.0","35150.0","35200.0","35240.0","35250.0","35450.0","35500.0","35600.0","35000.0","35000.0","35000.0","35000.0","39000.0","39700.0"
"Journey by motorcycle (okada) per drop","153.75","154.166666666667","150.0","150.0","153.333333333333","152.5","159.583333333333","150.0","150.315","150.315","150.315","200.315","153.846153846153","152.5","179.166666666666","184.545454545455","196.666666666666","184.615384615384","181.875","180.54","173.75","170.25","188.46","194.285714285714","200.117647058824","194.73684210526315","191.66666666666666","200.235241","173.52941176470588","175.0","170.0","183.846153846154","180.0","200.0","190.0","189.285714285714","177.857142857143","166.66","190.0","190.0","196.923076923077","195.0","197.0","200.0","200.0","200.0","220.0","260.0","260.0","262.0","246.153846153846","254.0","255.0","264.0","294.2","300.48"
"Water transport : water way passenger  transportat","1333.33333333333","1350.0","1700.0","1700.0","1750.0","1650.0","1766.66666666666","1725.0","1727.3625","1727.3625","1727.3625","2025.0","1533.33333333333","1333.3333333333333","1440.0","1600.0","1675.0","1733.33333333333","1750.0","1850.0","1800.0","1750.0","1750.0","2050.0","2100.0","2050.0","2000.0","2050.121547","2000.5","2000.0","2000.0","2110.0","2100.0","1666.6666666666667","1700.0","1760.0","1733.33333333333","1813.33333333333","1750.0","1756.0","1750.0","1750.0","1770.0","1790.0","1785.0","1790.0","1796.0","1799.0","1800.0","1800.0","1766.66666666667","1800.0","1840.0","1879.0","1941.0","2005.61"
