"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","90.8333333333333","79.785714285714","79.785714285714","93.333333333333","87.76923076923049","87.76923076923049","87.76923076923049","91.15384615384599","103.0236630541639","94.9635714285711","119.8701298701296","120.87012987013","105.625","114.615384615385","128.75","127.77777777777777","126.222222222222","122.352941176471","120.0","119.5","121.578947368421","118.75","123.52","160.0","172.380952380952","161.428571428571","150.0","155.71","161.0","160.0","160.0","165.0","160.0","108.0952380952381","115.0","136.11111111111111","134.375","135.71428571428572","136.8421052631579","137.0","147.72727272727272","145.0","149.0","150.0","150.0","156.0","155.0","157.0","158.0","160.0","163.04347826087","184.0","186.0","190.0","197.4","230.14"
"Bus journey intercity, state route, charg. per per","745.7142857142856","632.4025974025969","632.4025974025969","769.642857142857","734.5454545454545","734.5454545454545","734.5454545454545","734.5454545454545","1009.5317902312299","1009.5317902312299","1009.5317902312299","1207.14285714285","976.666666666667","879.1666666666666","1035.7142857142858","1231.25","1206.25","1325.0","1300.0","1450.0","1461.11111111111","1440.0","1518.75","1977.77777777777","2007.77777777777","2170.5","2100.0","2150.32145","2040.63157894736","2045.0","2050.0","2158.82352941176","2160.0","1850.32","1900.0","1578.125","1516.66666666666","1460.0","1505.88235294117","1510.0","1553.125","1555.0","1560.0","1550.0","1560.0","1570.0","1570.0","1573.0","1580.0","1584.0","1636.31578947368","1900.0","1920.0","1922.0","1996.0","2050.2"
"Air fare charg.for specified routes single journey","22000.0","22046.2","22092.49702","22138.891263742","22185.382935395857","22231.97223956019","22278.659381263267","22325.44456596392","22325.44456596392","22470.2652378654","22517.452794864916","29564.7394457341","29599.394457341","29599.394457341","30000.0","30000.0","30500.44","31000.0","31000.0","31500.0","31700.0","32501.0","32014.6809326604","32000.6809326604","32026.281477406526","32026.281477406526","30925.0","31000.32654","30900.7","31000.0","31500.0","32100.0","32150.0","34150.0","34500.0","34500.0","32500.085","32333.3333333333","32000.0","32150.0","32500.0","32500.0","32550.0","32500.0","32450.0","32456.0","32460.0","32500.0","32550.0","32500.0","33000.0","33000.0","33000.0","33000.0","37000.0","38700.0"
"Journey by motorcycle (okada) per drop","104.776785714285","96.6666666666666","114.42857142857099","113.333333333333","106.25","105.71428571428541","124.8571428571425","121.5714285714285","119.84961291121375","120.684752250783","131.285714285714","145.576923076923","132.352941176471","145.0","146.875","145.263157894737","142.6315789473684","146.666666666667","148.636363636364","127.27272727272727","129.52380952380952","124.117647058824","123.33","130.176470588235","150.0","138.5","143.1818181818182","150.124561","154.5","155.0","200.0","200.0","190.0","168.42105263157896","170.0","165.625","173.07692307692307","166.153846153846","171.05263157894737","170.0","157.5","160.0","160.0","165.0","168.0","170.0","170.0","174.0","180.0","187.0","185.0","197.0","199.0","210.0","223.4","294.8"
"Water transport : water way passenger  transportat","400.0","400.0","400.0","400.0","400.0","400.0","400.0","400.0","444.4880188235485","496.239406616386","497.28150937028045","598.325800539958","450.745","450.855","456.65","457.0","490.76","495.0","495.0","480.43","475.25","455.0","475.3547711824541","500.0","530.0","530.0","427.5","450.52416","460.76","460.0","460.0","465.0","465.0","450.0","450.0","450.0","422.55","450.0","440.6573765254404","440.0","440.0","445.0","450.0","435.0","440.0","450.0","452.0","459.0","500.0","503.0","500.0","530.0","534.0","538.0","580.0","600.0"
