"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","50.0","60.0","75.0","70.0","92.5","85.0","70.0","70.105","70.2102205","75.0","75.0","85.0","70.0","100.0","90.0","90.0","85.0","94.0","94.0","100.0","100.0","100.0","80.0","80.0","96.6666666666667","85.0","80.0","90.0","87.91666666666667","88.0","90.0","100.0","110.0","96.6666666666667","100.0","100.0","98.28","94.04076923076923","96.16038461538461","95.0","95.85731927218349","96.15","96.85","100.0","105.0","103.0","104.0","110.0","105.0","107.0","100.0","140.0","130.0","134.0","145.1","162.41"
"Bus journey intercity, state route, charg. per per","780.23","712.5","850.0","887.5","641.6666666666665","775.0","850.0","875.0","850.67","802.0901530207","725.0","966.666666666667","850.0","850.0","1000.0","1150.0","1083.33333333333","1331.25","1340.0","1200.0","1250.78","1200.0","1257.142857142857","1340.0","1407.14285714285","1358.57142857142","971.4285714285714","925.0","1065.53571428571","1065.0","1060.0","1200.85714285714","1150.0","1157.14285714285","1200.0","966.6666666666666","958.33333333333","1000.0","983.3333333333334","985.0","975.0","970.1","985.0","987.0","959.0","958.0","960.0","965.0","965.0","963.0","955.0","1200.0","1215.0","1223.0","1250.2","1321.5"
"Air fare charg.for specified routes single journey","26500.12","26555.770252","26611.537369529196","25000.0","25250.0","25303.025","24000.0","24050.4","24100.90584","25312.3923631521","25365.54838711472","25418.81603872766","25418.81603872766","35000.0","35000.0","35000.0","35000.44","35250.0","35000.0","34000.0","34000.0","35000.0","34746.6958874266","35000.0","35000.0","35700.0","34000.0","35000.0","34925.0","35000.0","35500.0","35000.0","35000.0","34500.0","34600.0","32200.0","32000.35","32500.0","32250.0","32200.0","32237.09655454714","32150.0","32200.0","32250.0","32300.0","32325.0","32330.0","32400.0","32500.0","32540.0","34000.0","34000.0","34000.0","34000.0","37000.0","38000.0"
"Journey by motorcycle (okada) per drop","75.0","66.66666666666666","52.0","80.0","78.75","86.66666666666666","75.0","61.071428571428555","50.0","56.3157681245064","75.0","75.0","64.0","66.66666666666667","60.0","60.0","55.0","58.5","66.66666666666667","68.18181818181819","68.5714285714286","66.66666666666667","58.1428571428571","60.0","65.0","55.55555555555556","72.22222222222223","75.0","68.9444444444444","69.0","70.0","85.268","80.0","65.0","70.0","61.111111111111114","80.0","87.1428571428571","85.5","86.0","86.6666666666667","85.5","87.0","89.0","90.0","95.0","94.0","95.0","98.0","100.0","96.5","115.0","118.0","124.0","125.35","140.32"
"Water transport : water way passenger  transportat","389.23","390.047383","390.8664825043","391.687302117559","392.5098454520059","393.3341161274551","394.16011777132275","394.9878540186425","350.0","481.369236969468","400.0","480.84","410.08","420.08","415.67","420.0","400.32","410.15999999999997","410.0","400.87","402.5","400.75","406.3145619567045","413.18718424701495","420.0","420.0","400.0","430.0","417.5","420.0","400.0","400.0","410.0","400.0","400.0","400.0","395.258","408.6736923076923","401.96584615384614","400.0","401.44552760247797","400.0","405.0","402.0","400.0","450.0","432.0","433.0","450.0","450.0","450.0","500.0","510.0","510.0","524.7","597.54"
