"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","124.166666666667","124.305555555555","124.444444444444","128.444444444444","141.9191919191915","141.9191919191915","141.9191919191915","141.9191919191915","141.9191919191915","140.9497074943585","168.5","178.5","150.588235294117","143.529411764705","140.952380952381","148.333333333333","143.823529411765","140.555555555556","143.333333333333","167.05882352941177","171.25","170.55","174.66","206.421438592783","217.619047619048","210.176470588235","200.0","210.23154","210.48","215.0","220.0","230.285714285714","240.0","221.428571428571","225.0","245.238095238095","235.789473684211","250.0","228.421052631579","240.0","250.0","245.0","250.0","247.0","248.0","250.0","250.0","270.0","274.0","275.0","276.9230769230769","300.0","320.0","324.0","348.0","376.82"
"Bus journey intercity, state route, charg. per per","1550.79365079365","1738.06818181818","1827.08333333333","1794.44444444444","1794.44444444444","1705.0","1785.90909090909","2038.888888888885","2043.1705555555518","1819.475","1819.475","2443.17055555555","2207.14285714286","2007.24285714286","2036.84210526316","2194.44444444444","2224.24242424242","2377.5","2306.25","2300.0","2307.63157894736","2304.87","2235.71","2406.35396646516","2535.0","2193.75","2050.0","2100.32154","1921.73913043478","2000.0","2000.0","2182.5","2180.0","2345.45454545455","2350.0","2140.0","2105.55555555556","2082.35294117647","2127.61904761905","2200.0","2290.0","2250.0","2265.0","2270.0","2280.0","2289.0","2290.0","2298.0","2300.0","2300.0","2350.0","2400.0","2450.0","2500.0","2549.0","2943.27"
"Air fare charg.for specified routes single journey","26500.0","26555.65","26611.416865000003","26667.3008404165","26723.302172181375","26779.421106742957","28000.0","28058.8","28117.72348","28724.6048712448","28784.92654147441","30000.0","30000.0","30000.0","32500.45","32500.0","33000.13","35087.0","35000.0","35680.0","35700.0","35800.0","35000.0","39008.9112607392","40500.0","40500.0","40000.0","41000.0","40500.0","41300.0","41500.0","42000.0","41500.0","40000.0","40500.0","36500.0","33500.0","33500.0","33439.002137815","33460.0","33000.0","33400.0","33350.0","33390.0","33400.0","33400.0","33450.0","33487.0","33500.0","33600.0","33600.0","33600.0","33600.0","33600.0","39600.0","40600.0"
"Journey by motorcycle (okada) per drop","92.72727272727269","90.51948051948045","91.875","109.333333333333","96.022727272727","99.2857142857142","92.5","92.7777777777777","92.97261111111104","98.8007781572107","92.85714285714285","150.902777777777","120.0","121.42857142857143","127.5","128.666666666667","121.428571428571","125.55","124.764705882353","125.263157894737","125.833333333333","125.45","110.0","122.41179962520577","130.347826086957","125.0","95.45454545454545","100.332154","112.78363138537561","115.0","115.0","119.5","120.0","188.181818181818","190.0","187.5","174.117647058823","188.888888888888","175.909090909091","170.0","167.692307692307","170.0","170.0","175.0","172.0","176.0","179.0","200.0","200.0","205.0","210.0","250.0","242.0","248.0","255.0","300.0"
"Water transport : water way passenger  transportat","350.0","350.0","425.0","416.6666666666665","462.5","475.0","425.0","425.0","425.8925","432.671085732763","450.0","550.0","500.0","500.0","500.0","500.0","537.5","518.75","523.333333333333","520.0","523.333333333333","522.44","535.0","513.2923362668732","566.666666666667","500.0","433.3333333333333","450.22541","487.55635250000006","490.0","500.0","525.0","520.0","500.0","500.0","500.0","433.333333333333","456.51","462.5","460.0","460.0","464.22","470.0","480.0","480.0","487.0","485.0","500.0","450.0","450.0","500.0","560.0","564.0","570.0","600.0","675.68"
