"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","74.166666666667","73.333333333333","72.5","77.5","76.666666666667","100.0","100.0","102.0","103.39922917942454","100.565147262369","111.666666666667","150.25","132.5","120.0","136.89","137.5","146.666666666667","154.0","150.0","142.0","145.0","175.0","167.5","185.0","195.0","192.428571428571","189.36","190.3216541","190.42204510571418","190.5","190.0","198.571428571428","199.0","178.571428571428","180.0","165.0","155.0","171.428571428571","154.1","160.0","152.0","155.0","153.0","200.0","180.0","190.0","185.0","190.0","197.0","194.0","185.0","192.0","194.0","198.0","204.3","283.56"
"Bus journey intercity, state route, charg. per per","632.5","684.523809523809","700.0","695.833333333333","689.523809523809","780.9523809523805","773.8095238095235","771.25","954.156399830692","783.5346439297365","783.333333333333","885.35","863.636363636364","850.0","824.0","963.63636363636","875.0","901.11111111111","908.333333333333","1011.5384615384615","997.5","881.8181818181819","795.45","1343.75","1395.6854","1375.0","1200.0","1300.223154","1322.9317108","1350.0","1400.0","1502.72727272727","1500.0","1490.0","1500.0","1333.33333333333","1203.33333333333","1251.66","1257.14285714285","1280.0","996.363636363636","1000.0","1000.0","1050.0","1035.0","1036.0","1038.0","1100.0","1160.0","1180.0","1175.83333333333","1234.0","1235.0","1237.0","1260.0","1670.24"
"Air fare charg.for specified routes single journey","15000.0","20000.0","15000.0","15000.0","15031.5","15000.0","15031.5","15063.06615","22981.22815069905","25211.5599558766","25264.50423178394","25317.559690670685","25227.5596906707","25227.5596906707","28000.0","31000.0","33000.0","32000.0","33000.0","33000.0","33000.0","32000.0","32000.0","32000.0","32000.0","32000.0","30000.0","31000.32654","31400.065308","31300.0","31500.0","32000.0","32000.0","33000.0","32500.0","28500.0","28100.0","26500.0","26500.0","26450.0","26500.0","26450.0","26400.0","25300.0","25350.0","25365.0","25370.0","25400.0","25460.0","25500.0","25500.0","25500.0","25500.0","25500.0","35500.0","38500.0"
"Journey by motorcycle (okada) per drop","58.1818181818182","87.5","84.0","82.2619047619043","52.5","59.375","58.3333333333333","83.3333333333333","82.282196024774","96.2359233737685","62.7272727272727","95.28","79.23076923076923","88.88888888888889","109.166666666667","109.818181818181","100.78","93.3333333333333","97.0","81.81818181818181","86.3636363636364","80.0","72.3","70.71428571428571","75.0","63.5","64.0","65.231654","72.3076923076923","75.0","70.0","81.4285714285714","85.0","67.0","70.0","74.16666666666667","70.59","77.77777777777777","70.0","80.0","70.83333333333333","75.0","76.0","78.0","80.0","80.0","85.0","90.0","90.0","88.0","80.0","94.0","92.0","98.0","100.0","187.41"
"Water transport : water way passenger  transportat","325.89","326.784369","327.6806161749","328.578745468867","329.478760834352","330.380666232104","331.284465631191","332.190163009017","342.96033359074","381.369236969468","382.380112367104","400.0","370.85","370.95","380.0","382.0","400.88","391.44","400.0","367.45","370.95","365.55","360.0","360.0","380.0","380.0","355.63","370.236541","369.1733082","370.0","370.0","370.6915268615385","375.0","350.0","350.0","350.0","331.02","350.0","350.0","340.0","340.0","330.0","320.0","325.0","329.0","330.0","350.0","357.0","360.0","360.0","360.0","400.0","415.0","420.0","462.1","492.17"
