"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","101.25","86.4285714285714","70.0","96.6666666666665","96.6666666666665","96.6666666666665","149.0","149.0","149.31289999999998","149.31289999999998","186.428571428571","196.428571428571","153.333333333333","138.88888888888889","127.777777777778","128.25","121.0","115.454545454545","118.727272727272","100.83333333333333","103.333333333333","102.166666666666","127.5","145.0","155.555555555556","133.63636363636363","125.0","130.0","136.797979798","137.0","140.0","150.833333333333","155.0","146.25","148.0","145.0","133.636363636364","140.0","157.5","150.0","152.0","151.0","153.0","155.0","158.0","159.0","160.0","164.0","165.0","167.0","185.0","197.0","199.0","199.0","203.6","220.46"
"Bus journey intercity, state route, charg. per per","640.625","640.625","680.0","688.75","950.0","812.5","812.5","812.5","812.5","812.5","1100.0","1200.0","1110.0","1009.0909090909","1165.0","1290.90909090909","1213.63636363636","1266.66666666667","1306.92307692307","1396.66666666666","1398.38461538461","1371.42857142857","1323.07692307692","1318.18181818181","1358.33333333333","1250.0","1200.0","1250.0","1264.5833333333326","1265.0","1260.0","1293.07692307692","1298.0","1220.83333333333","1300.0","1318.1818181818182","1250.0","1250.0","1200.4","1210.0","1222.72727272727","1215.0","1220.0","1225.0","1228.0","1230.0","1230.0","1237.0","1240.0","1245.0","1259.16666666666","1450.0","1460.0","1485.0","1500.0","1700.82"
"Air fare charg.for specified routes single journey","19250.0","19250.0","25000.0","19250.0","25000.0","36000.0","37000.0","35500.0","35574.55","30780.700604713747","35000.0","35500.0","35900.0","35000.0","35000.0","35000.0","36000.0","38000.0","38000.0","37000.0","37800.0","37000.0","37000.0","35000.0","36000.0","35000.0","33000.0","33500.0","32500.0","32700.0","32750.0","35000.0","35000.0","35000.0","35500.0","35500.0","32200.15","32206.26875","32000.0","32000.0","32000.0","32000.0","32400.0","32300.0","32360.0","32367.0","32678.0","32750.0","32800.0","32800.0","33000.0","33000.0","33000.0","33000.0","38000.0","38700.0"
"Journey by motorcycle (okada) per drop","71.25","90.42147665420215","77.5","73.0","78.75","79.28571428571425","74.28571428571425","74.3333333333333","74.4894333333333","90.42147665420215","90.42147665420215","94.375","80.0","81.81818181818181","81.11111111111111","86.0","70.9090909090909","66.36363636363636","64.16666666666667","66.92307692307692","75.0","66.15384615384616","66.66666666666667","74.54545454545455","94.16666666666667","78.33333333333333","75.0","80.0","81.875","85.0","80.0","93.0769230769231","95.0","107.27272727272727","105.0","84.16666666666667","75.0","74.61538461538461","73.5","75.0","70.0","75.0","72.0","74.0","76.0","79.0","80.0","86.0","89.0","90.0","87.0","98.0","98.0","99.0","107.4","170.21"
"Water transport : water way passenger  transportat","2000.0","1550.0","1525.0","1550.0","2000.0","1625.0","1500.0","1550.0","1550.0","1513.211556075","1513.211556075","2000.0","1833.33333333333","1633.33333333333","1625.0","1666.66666666667","1580.0","1550.0","1583.33333333333","1450.0","1457.14285714285","1425.0","1650.0","1571.42857142857","1651.22657142857","1521.66666666667","1520.0","1500.0","1548.22330952381","1549.0","1545.0","1550.0","1555.0","1558.33333333333","1560.0","1485.71428571428","1421.42857142857","1466.66","1501.42857142857","1500.0","1780.87","1800.0","1790.0","1800.0","1800.0","1850.0","1850.0","1890.0","1890.0","1890.0","1820.0","1975.0","1980.0","1975.0","2000.0","2000.0"
