"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","81.875","81.4583333333333","88.5714285714286","80.25","86.9444444444444","83.3333333333333","87.6388888888889","85.35714285714285","85.53639285714284","85.53639285714284","100.25","120.5","111.111111111111","105.0","106.923076923076","106.615384615384","103.076923076923","108.25","103.0","105.0","107.0","105.88","107.39082008870419","145.71428571428572","152.727272727272","144.166666666666","140.65","150.325417","146.9673390984845","148.5","150.0","157.777777777777","159.0","158.333333333333","160.0","149.0","142.727272727272","164.285714285714","161.739161085556","162.0","158.437883261299","160.0","165.0","162.0","164.0","165.0","165.0","174.0","178.0","180.0","171.25","180.0","186.0","194.0","200.0","250.79"
"Bus journey intercity, state route, charg. per per","1415.0","1616.8181818181802","1622.5","1423.92857142857","1423.92857142857","1423.92857142857","1423.92857142857","1538.60995113898","1538.60995113898","1538.69995113898","1538.78099511389","1638.60995113898","1576.47058823529","1441.17647058823","1305.26315789473","1400.0","1416.40625","1309.375","1370.58823529411","1350.0","1342.1875","1342.0","1404.80106093975","1414.6794872776763","1675.0","1529.41176470588","1500.0","1550.121254","1476.1904761904761","1550.0","1500.0","1530.5","1540.0","1500.0","1500.0","1166.6666666666667","1105.55555555556","1050.0","1094.73684210526","1095.0","1082.10904605531","1085.0","1100.0","1100.0","1150.0","1155.0","1158.0","1197.0","1200.0","1200.0","1157.14285714286","1240.0","1247.0","1276.0","1320.5","1440.83"
"Air fare charg.for specified routes single journey","23700.0","23749.77","23799.644517","23849.6237704857","23899.70798040372","23949.897367162568","24000.192151633608","24050.592555152038","24101.09879951786","24101.09879951786","24101.09879951786","24101.09879951786","24001.0987995179","24001.0987995179","25000.0","25500.0","25400.0","27000.0","27000.0","27000.0","27120.0","27500.0","26749.8765796847","25694.33194135492","25714.887406908005","25714.887406908005","24000.0","24500.1478541","24950.480666979","24900.0","24950.0","25000.0","25000.0","25000.0","25500.0","25500.0","25310.25","25500.0","25500.0","25550.0","25064.8970685085","25100.0","25200.0","25185.0","25200.0","25230.0","25250.0","25600.0","25690.0","25700.0","25700.0","25700.0","25700.0","25700.0","35700.0","37700.0"
"Journey by motorcycle (okada) per drop","69.0","96.25","91.0","111.8181818181815","101.5277777777773","101.5277777777773","101.5277777777773","111.2777777777775","111.51146111111083","118.7704469599893","118.7704469599893","128.770446959989","117.222222222222","113.888888888888","117.045454545454","118.285714285714","114.5","116.5","115.111111111111","118.55","117.3125","115.44","117.45152308873699","117.5524566955018","125.047619047619","104.78260869565217","100.0","105.254152","108.77109493581779","110.0","120.0","158.636363636363","150.0","165.625","170.0","165.882352941176","162.02","164.375","165.78947368421","160.0","165.031052501242","160.0","162.0","165.0","165.0","164.0","166.0","168.0","170.0","170.0","165.117647058823","174.0","179.0","183.0","197.65","200.45"
"Water transport : water way passenger  transportat","380.23","381.028483","381.8286428143","382.63048296421005","383.43400697843487","384.2392183930896","385.0461207517151","385.8547176052937","386.6650125122648","481.369236969468","482.38011236710383","553.393110603075","483.3931106030748","483.398790110603","460.23","470.0","480.21","475.105","475.0","490.89","485.25","480.0","484.66090955560213","484.4850813987903","490.0","470.0","450.8","480.335241","472.78381025","470.0","470.0","470.0","465.0","450.0","460.0","460.0","458.39","450.0","456.1088440545423","457.0","450.363362657071","455.0","457.0","460.0","450.0","455.0","458.0","486.0","482.0","485.0","485.0","500.0","500.0","550.0","573.1","582.69"
