"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","77.5","85.0","77.5","81.25","120.833333333333","120.833333333333","120.833333333333","120.833333333333","131.234083333333","135.0","136.55","200.0","150.11","127.5","156.666666666667","166.666666666667","172.0","169.33333333333348","70.0","65.0","64.75","64.55","70.717519743756","150.0","160.0","157.0","145.32","150.3652147","148.6","150.0","150.0","165.0","168.0","200.0","190.0","168.75","155.2","158.333333333333","156.666666666667","158.0","157.04511810752584","159.0","160.0","162.0","161.0","164.0","165.0","168.0","170.0","176.0","166.6","184.0","187.0","194.0","200.0","285.3"
"Bus journey intercity, state route, charg. per per","1477.08333333333","1292.22222222222","1270.0","1278.46153846153","1240.47619047619","1141.66666666666","1109.5238095238","1109.5238095238","1109.5238095238","1349.99373579808","1349.99373579808","1550.56","1350.0","1300.0","1297.5","1447.0588235294117","1312.06896551724","1267.6470588235295","1263.33333333333","1260.0","1253.84615384615","1251.78","1230.76","1839.58333333333","2562.5","2346.66666666667","2003.25","2100.356412","2081.25","2080.0","2100.0","2173.23529411764","2170.0","1300.0","1300.0","1000.0","993.33333333333","1046.66666666667","1081.81818181818","1090.0","1052.255111839562","1075.0","1100.0","1150.0","1152.0","1155.0","1158.0","1200.0","1230.0","1250.0","1200.0","1286.0","1290.0","1297.0","1320.0","1731.1"
"Air fare charg.for specified routes single journey","24500.0","24551.45","24603.008045000002","24654.674361894504","24706.44917805448","24758.332721328396","24810.325220043185","24862.426903005275","24914.637999501585","24770.6805915961","24822.699020838452","26500.65","26500.0","26500.0","27000.0","27000.0","27540.22","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","31000.558784","30000.0","30500.0","31000.0","31000.0","31000.0","31000.0","31500.0","31500.0","29850.251","30250.0836666667","30050.5","30100.0","30062.368318237637","30500.0","30550.0","30600.0","30550.0","30600.0","30650.0","30900.0","31000.0","31200.0","31000.0","31000.0","31000.0","31000.0","37000.0","37600.0"
"Journey by motorcycle (okada) per drop","74.0","74.0","76.07692307692305","76.07692307692305","76.07692307692305","69.75","71.0","81.84615384615384","82.01803076923076","84.80116511662405","81.85897435897431","89.92307692307651","88.333333333333","82.77777777777777","82.105263157895","92.222222222222","107.272727272727","117.105263157895","120.0","119.96","116.875","117.55","125.62","170.857142857143","180.0","174.722222222222","156.85","160.32155","155.555555555556","155.0","160.0","187.0","180.0","210.588235294118","220.0","165.0","162.33","158.888888888889","189.23076923076923","188.0","174.04457074746463","180.0","180.0","190.0","190.0","192.0","196.0","198.0","200.0","200.0","198.5","210.0","216.0","230.0","245.0","250.67"
"Water transport : water way passenger  transportat","400.0","425.0","400.0","450.0","450.0","450.0","450.0","466.666666666666","467.646666666666","494.322662766978","495.85","500.0","498.88","475.0","550.0","600.0","750.0","750.0","750.0","755.0","750.0","750.57","800.0","800.0","900.0","750.0","725.0","800.321421","800.25","800.0","800.0","800.0","800.0","860.0","850.0","800.0","800.85","800.0","800.0","800.0","800.2124153844694","810.0","815.0","805.0","807.0","809.0","820.0","820.0","800.0","814.0","800.0","870.0","850.0","876.0","899.2","950.0"
