"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","100.0","100.0","150.0","150.0","100.0","100.0","100.0","150.0","100.0","114.013723289523","150.0","167.5","132.5","150.0","160.0","160.0","150.0","150.57","150.0","140.0","143.333333333333","136.666666666666","150.0","183.33333333333334","208.0","175.58","200.0","190.0","198.318888888889","198.0","200.0","217.5","210.0","233.33333333333334","250.0","233.33333333333334","215.0","205.0","217.0","219.0","227.5","225.0","228.0","230.0","232.0","230.0","234.0","237.0","235.0","240.0","255.0","280.0","285.0","288.0","294.3","298.76"
"Bus journey intercity, state route, charg. per per","666.666666666666","625.0","666.666666666667","633.333333333333","800.0","725.0","830.0","775.0","1133.3333333333298","718.28532992","830.0","1133.3333333333298","900.0","875.0","892.0","1000.0","1010.09","1020.55","1192.85714285714","1080.0","1091.25","1078.57142857142","1065.8875469776087","1666.66666666666","1685.71428571428","1500.0","1450.0","1500.0","1488.96825396825","1490.0","1495.0","1500.66666666667","1500.85","1350.65","1200.0","1257.142857142857","1212.5","1228.33","1200.0","1240.0","1311.11111111111","1310.0","1315.0","1345.0","1340.0","1345.0","1347.0","1350.0","1355.0","1350.0","1343.75","1450.0","1454.0","1462.0","1485.1","1529.2"
"Air fare charg.for specified routes single journey","25000.32","25052.820671999998","25105.4315954112","25158.153001761562","25210.98512306526","25263.928191823696","35000.0","27000.0","27000.0","26406.0","27000.0","35000.0","35000.0","35000.0","35600.0","35000.0","35000.0","35000.0","35000.0","34500.0","35000.0","37000.0","37000.0","37000.0","37000.0","36000.0","37000.0","36500.0","35583.3333333333","35600.0","35600.0","35600.0","35500.0","37000.0","36800.0","30000.0","29652.31","30310.0775","29500.0","29600.0","27500.0","27500.0","27550.0","27580.0","27550.0","27580.0","27600.0","27650.0","27700.0","27750.0","27500.0","27500.0","27500.0","27500.0","30500.0","37500.0"
"Journey by motorcycle (okada) per drop","144.9999999999998","150.0","153.333333333333","195.833333333333","155.0","161.666666666666","160.333333333333","153.333333333333","160.0","187.174840750637","162.5","164.166666666666","158.75","137.142857142857","164.285714285714","174.285714285714","152.857142857142","165.55","171.0","152.0","158.888888888888","153.636363636363","160.95355209619402","152.222222222222","158.333333333333","159.0","107.0","120.0","121.759259259259","122.0","120.0","129.636363636363","125.0","101.81818181818181","120.0","107.727272727272","93.33333333333333","97.2222222222222","95.8","93.0","90.9090909090909","91.0","95.0","100.0","100.0","98.0","99.0","100.0","100.0","104.0","96.1818181818182","100.0","105.0","108.0","110.2","117.65"
"Water transport : water way passenger  transportat","850.0","1100.0","1200.0","1400.0","1500.0","850.0","1000.0","1200.0","1202.52","1046.842312072295","1000.0","1500.0","1350.0","1350.0","1500.0","1550.0","1400.0","1466.67","1500.0","1350.0","1450.0","1350.0","1406.39582590686","1500.0","1566.66666666667","1400.0","900.0","1100.0","1027.77777777778","1030.0","1030.0","1100.0","1100.0","1066.66666666666","1050.0","966.666666666667","955.0","866.666666666667","816.66","815.0","850.0","850.0","840.0","820.0","830.0","825.0","826.0","830.0","820.0","815.0","833.3333333333334","895.0","898.0","900.0","900.0","925.75"
