"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","55.0","55.78","57.833333333333","58.853333333333","55.9333333333","56.78","57.55","58.833333333333","57.893333333333","58.833333333333","59.26","90.26","84.285714285714","94.44444444444444","102.222222222222","103.666666666667","99.65","105.0","104.666666666666","104.88","101.0","100.89","107.0","150.0","158.333333333333","160.0","155.25","160.321659","156.48","160.1","158.0","163.333333333333","160.0","258.333333333333","250.0","300.0","302.03","285.0","308.571428571429","305.0","300.0","310.0","315.0","318.0","320.0","325.0","328.0","334.0","338.0","336.0","357.14285714285717","410.0","435.0","487.0","500.4","550.1"
"Bus journey intercity, state route, charg. per per","981.666666666667","945.833333333333","1037.5","1027.57","1052.85714285714","1072.85714285714","1050.22","1050.72","1150.22","1150.8822","1150.24","1800.15","1270.0","1186.6666666666667","1240.0","1255.38461538462","1261.53846153846","1290.0","1133.33333333333","1155.0","1076.0","1075.65","1071.42","1166.6666666666667","1250.0","1173.3333333333333","1180.0","1200.365481","1127.2727272727273","1150.0","1170.0","1193.5294117647","1200.0","1291.66666666667","1250.0","974.6666666666666","965.32","978.5714285714286","1012.46153846154","1020.0","1150.0","1145.0","1140.0","1150.0","1145.0","1200.0","1200.0","1245.0","1250.0","1270.0","1180.0","1200.0","1270.0","1298.0","1395.0","1500.58"
"Air fare charg.for specified routes single journey","22000.0","22046.2","22092.49702","22138.891263742","22185.382935395857","22231.97223956019","22278.659381263267","22325.44456596392","22325.44456596392","22770.6805915961","22818.49902083845","23866.4178687822","23870.4178687822","24050.55","25500.11","25500.11","26000.0","31000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","30000.0","29500.0","30000.875412","30500.5","30500.0","31000.0","31200.0","31250.0","30500.0","31000.0","31000.0","30890.2","31000.0","31000.0","31100.0","30090.2","31100.0","32250.0","32200.0","32300.0","32300.0","32350.0","32430.0","32485.0","32500.0","32500.0","32500.0","32500.0","32500.0","36500.0","38500.0"
"Journey by motorcycle (okada) per drop","50.0","50.0","50.0","60.56","60.56","60.56","65.22","65.22","67.492869634675","67.492869634675","73.80952380952375","83.8095238095238","65.2941176470588","54.09090909090909","52.22222222222222","53.0","56.25","65.89","66.3636363636364","66.88","58.94736842105263","60.0","63.33","75.0","80.0","80.5263157894737","79.35","80.231546","76.25","75.0","70.0","87.8947368421053","85.0","47.142857142857146","60.0","72.3529411764706","62.3529411764706","62.6666666666667","65.6","64.0","60.2857142857143","62.0","65.0","68.0","67.0","70.0","75.0","80.0","80.0","87.0","89.4444444444444","100.0","108.0","110.0","127.0","136.3"
"Water transport : water way passenger  transportat","240.0","240.0","240.504","241.0090584","241.51517742264","242.02235929522755","283.968292756193","283.968292756193","283.968292756193","308.218625892106","308.8658850064794","359.514503364993","310.55","315.45","320.33","325.0","324.89","339.0","338.11","340.0","335.98","330.55","362.5","330.0","350.0","350.0","357.14285714285717","370.654128","365.55","370.0","370.0","385.575921934066","380.0","300.0","300.0","300.0","285.91","300.0","300.0","295.0","300.0","300.0","320.0","315.0","312.0","320.0","322.0","355.0","350.0","352.0","350.0","384.0","387.0","396.0","400.0","428.29"
