"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","68.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","120.0","100.0","107.5","120.0","120.0","120.0","110.0","105.0","100.0","105.0","100.55","113.33","140.0","154.444444444444","141.66666666666666","100.0","110.251452","106.666666666666","115.0","120.0","150.0","145.0","200.0","180.0","160.0","150.0","148.333333333333","152.69213442984608","150.0","165.0","160.0","155.0","157.0","159.0","160.0","160.0","168.0","170.0","170.0","183.0","195.0","198.0","200.0","230.0","273.28"
"Bus journey intercity, state route, charg. per per","1833.3333333333298","1708.3333333333298","1800.0","1800.0","1858.3333333333298","1858.3333333333298","1858.3333333333298","1858.3333333333298","1858.3333333333298","1942.171428571425","1942.171428571425","1992.17142857142","1816.66666666667","2337.5","2277.77777777778","2320.0","2388.88888888889","2344.44444444444","2342.85714285714","2300.0","2200.0","2200.0","2270.0","1127.2727272727273","1300.0","1280.0","1255.62","1300.321457","1270.55","1280.0","1250.0","1257.14285714286","1260.0","1787.5","1850.0","1512.5","1488.88888888889","1533.33333333333","1511.464958625707","1520.0","1497.5","1500.0","1500.0","1530.0","1540.0","1540.0","1543.0","1586.0","1592.0","1600.0","1650.75","1720.0","1740.0","1768.0","1875.0","1942.11"
"Air fare charg.for specified routes single journey","20678.98","20722.405858","20765.922910301797","20809.53134841343","20853.2313642451","20897.023150110017","20940.906898725247","20984.88280321257","21028.95105709932","21028.95105709932","21028.95105709932","26779.421106742957","26779.421106742957","26779.421106742957","27870.45","28000.0","28500.34","30052.0","30000.0","30000.0","30200.0","30500.0","30000.0","30000.0","30000.0","30000.0","29000.0","30000.985461","29500.0","29600.0","29600.0","29600.0","29550.0","30000.0","30100.0","30100.0","30590.321","30100.0","30262.560812053012","30270.0","30200.0","30250.0","30500.0","30400.0","30450.0","30500.0","30500.0","31000.0","31500.0","31560.0","31500.0","31500.0","31500.0","31500.0","38500.0","38500.0"
"Journey by motorcycle (okada) per drop","42.49999999999995","45.9523809523809","46.66666666666665","50.8333333333333","48.5","50.7142857142857","54.16666666666665","55.27777777777775","55.393861111111086","67.520022746392","67.550022746392","87.520022746392","65.0","58.0","57.77777777777778","58.57142857142857","52.22222222222222","55.39682539682539","55.5","54.75","49.1428571428571","50.11","51.0","55.45454545454545","73.88888888888889","69.0","59.166666666666664","60.125475","57.1428571428571","58.0","60.0","90.55555555555556","85.0","55.0","60.0","81.11111111111111","77.7777777777778","75.0","77.92300906998393","78.0","78.5","75.0","78.0","80.0","80.0","82.0","85.0","90.0","94.0","95.0","95.5555555555556","100.0","105.0","115.0","123.0","140.23"
"Water transport : water way passenger  transportat","270.54","271.108134","271.6774610814","272.24798374967094","272.81970451554525","273.3926258950279","273.96675040940744","274.5420805852672","275.11861895449624","275.068135411124","275.6457784954873","296.224634630328","250.55","248.65","300.0","300.0","298.22","299.11","301.0","310.0","330.15","320.0","304.637658712861","300.0","320.0","320.0","303.25","305.225471","300.5","300.0","300.0","300.0","298.0","200.0","200.0","200.0","185.25","200.0","194.95725558828428","195.0","185.555555555555","190.0","190.0","200.0","210.0","205.0","208.0","210.0","220.0","215.0","220.0","245.0","250.0","250.0","264.2","291.78"
