"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","80.0","80.168","67.5","67.5","100.0","70.0","70.0","70.147","90.0","92.26404","100.0","250.0","200.0","200.0","200.0","200.0","150.0","160.55","170.0","150.0","150.75","150.0","160.7797966302228","180.0","200.0","185.0","180.0","200.0","194.296632771704","195.0","200.0","216.0","210.0","200.0","220.0","250.0","255.0","263.33","250.0","255.0","250.0","253.0","250.0","252.0","255.0","225.0","230.0","230.0","235.0","237.0","245.0","250.0","253.0","260.0","267.8","280.1"
"Bus journey intercity, state route, charg. per per","1700.0","1703.57","2058.33333333333","2058.33333333333","1500.0","1500.0","1500.0","1450.0","1450.0","1450.0","1450.98","3500.0","3500.45","3350.0","3266.66666666667","3500.0","3266.66666666667","3000.0","3000.0","2733.33333333333","2750.32","2500.0","2947.7467728635406","3242.85714285714","3358.57142857143","3250.0","3000.0","3200.0","3166.529224048685","3200.0","3200.0","3428.57142857143","3430.0","2328.5714285714284","2500.0","2275.0","2290.0","2385.71428571429","2406.66666666667","2400.0","2500.0","2500.0","2550.0","2530.0","2537.0","2540.0","2543.0","2546.0","2547.0","2545.0","2500.0","2650.0","2654.0","2675.0","2700.0","2765.25"
"Air fare charg.for specified routes single journey","37000.0","37077.7","27000.0","27000.0","26000.0","26000.0","24000.0","24050.4","24000.0","29970.4106792971","26000.0","37000.0","37700.0","35000.0","35000.0","35000.0","36000.0","37500.0","37000.0","36250.0","37000.0","37500.0","36597.31465004329","36000.0","36200.0","36200.0","31500.0","32000.0","31500.5524416739","31500.0","32000.0","32500.0","32400.0","32500.0","33000.0","33000.0","32159.215","32804.59749551338","33000.0","33450.0","35000.0","33500.0","33460.0","33500.0","33550.0","33600.0","33550.0","33600.0","33600.0","33600.0","33600.0","33600.0","33600.0","33600.0","35600.0","38600.0"
"Journey by motorcycle (okada) per drop","60.0","60.126","70.0","70.147","70.2943087","70.44192674827","70.58985479444138","70.73809348950971","70.88664348583768","70.0","70.0","70.147","70.55","70.45","71.54","72.0","70.0","71.22","70.0","70.87","71.0","70.0","70.72357331497233","80.0","90.0","80.0","62.5","70.0","65.5372622191621","65.0","65.0","70.0","68.0","50.0","50.0","50.0","50.0348","50.0","50.0","55.0","50.0","52.0","55.0","60.0","58.0","59.0","60.0","62.0","63.0","63.0","50.0","80.0","75.0","75.0","79.0","80.24"
"Water transport : water way passenger  transportat","350.66","351.396386","325.0","325.6825","326.36643325","327.051802759825","327.73861154562064","328.42686262986643","329.11655904138917","482.813344680376","483.8272527042048","484.8432899348836","420.55","422.55","400.13","420.55","410.76","415.855","420.0","418.77","433.2","430.0","421.2430812762587","400.0","450.0","450.0","400.0","420.0","423.5405135460431","435.0","430.0","432.478074392239","435.0","400.0","420.0","420.0","415.85","425.52835291832946","420.68917645916474","410.0","450.0","450.0","480.0","450.0","465.0","470.0","475.0","479.0","480.0","482.0","480.0","600.0","600.0","625.0","628.4","642.31"
