"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","80.0","79.75","78.75","101.25","125.0","120.285714285714","120.25","120.25","120.25","120.25","153.333333333333","165.0","175.0","155.555555555555","130.0","132.0","126.666666666666","125.555555555555","135.555555555555","127.142857142857","127.66","120.0","134.6661520712571","150.0","171.857142857143","166.0","155.0","160.231546","160.0","165.0","165.0","170.909090909091","170.98","165.0","168.0","130.83333333333334","130.3333333333","148.0","183.636363636363","185.0","170.0","175.0","180.0","178.0","180.0","182.0","185.0","190.0","194.0","195.0","186.363636363636","194.0","195.0","198.0","218.4","283.84"
"Bus journey intercity, state route, charg. per per","819.285714285714","713.5416666666665","1060.0","1025.0","1073.21428571428","1212.5","1039.5833333333298","1033.0357142857101","1330.29775528703","1099.2221837105255","944.444444444444","1245.83333333333","1190.909090909091","1200.0","1177.27272727272","1320.0","1250.0","1258.3333333333333","1276.92307692307","1066.6666666666667","1063.33333333333","1025.0","1178.9091374645327","1709.0909090909","1853.84615384615","1625.0","1500.0","1550.124572","1530.77777777777","1535.0","1540.0","1555.78947368421","1555.0","1579.16666666666","1585.0","1456.5","1359.0909090909","1329.23076923076","1340.0","1345.0","1312.5","1350.0","1360.0","1355.0","1360.0","1364.0","1365.0","1368.0","1370.0","1376.0","1353.84615384615","1430.0","1432.0","1486.0","1550.0","1970.12"
"Air fare charg.for specified routes single journey","21450.0","21495.045","21540.1845945","21585.418982148447","21630.74836201096","21676.172933571183","21721.69289673168","21767.308451814817","21962.84637287875","23210.8909476348","23259.633818624836","23308.47904964395","23308.47904964395","23308.47904964395","25657.87","26580.0","26000.23","28000.89","28000.0","29000.0","29600.0","30000.0","30000.0","30000.0","31000.0","31000.0","30000.0","31000.0","30000.0","30500.0","31000.0","31000.0","31500.0","32000.0","32000.0","32000.0","31090.15","32000.0","31700.0","32100.0","32000.0","32300.0","32400.0","32380.0","32400.0","32460.0","32465.0","32490.0","32500.0","32585.0","32500.0","32500.0","32500.0","32500.0","37500.0","38500.0"
"Journey by motorcycle (okada) per drop","63.8333333333333","69.375","52.91666666666665","59.5","57.91666666666665","65.19230769230765","61.5","67.07142857142856","81.1276760183503","63.92119322532715","67.87878787878785","72.5","56.0","70.0","66.0","67.8333333333333","76.1538461538462","75.0","76.8571428571429","65.71428571428571","75.71428571428571","76.36363636363636","70.2495380105043","80.0","88.6666666666667","79.28571428571429","75.625","80.321457","78.3333333333333","75.0","75.0","80.95238095238095","80.0","82.0","85.0","78.46153846153847","73.4615384615385","72.0","70.76923076923077","70.0","75.0","75.0","80.0","85.0","85.0","87.0","89.0","95.0","94.0","95.0","90.625","97.0","99.0","100.0","100.0","125.1"
"Water transport : water way passenger  transportat","100.0","100.21","100.420441","100.6313239261","100.8426497063448","101.05441927072812","101.26663355119665","105.0","228.812839866413","229.665365251899","252.756662518928","350.850251510218","300.0","320.55","322.54","323.0","350.11","336.555","340.0","320.55","330.0","320.25","326.0950060447744","315.0","320.0","320.0","300.0","320.125478","310.5","300.0","320.0","350.0","350.0","300.0","310.0","310.0","300.02","305.5","300.0","315.0","300.0","310.0","320.0","315.0","310.0","320.0","315.0","320.0","300.0","304.0","300.0","325.0","330.0","330.0","338.5","355.3"
