"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","73.5714285714286","91.9642857142857","65.0","69.642857142857","65.833333333333","100.0","100.0","100.0","100.25","102.55","108.22","140.55","120.55","81.81818181818181","108.33333333333333","109.0","106.111111111111","106.66666666666667","108.0","110.0","122.0","115.55","128.18","143.75","152.0","144.166666666666","140.0","145.221547","143.166666666666","146.0","145.0","153.333333333333","155.0","180.0","185.0","166.666666666666","158.181818181818","170.0","178.5","175.0","164.285714285714","170.0","166.0","168.0","170.0","170.0","175.0","178.0","182.0","180.0","194.4","205.0","220.0","226.0","267.0","294.25"
"Bus journey intercity, state route, charg. per per","1542.04545454545","1691.287878787875","1635.0","1697.5","1645.83333333333","1686.66666666666","1698.57142857142","1642.85714285714","1649.45714285714","1661.3190119106","1677.5","1807.5","1515.38461538462","1553.84615384615","1411.53846153846","1543.75","1498.14814814814","1475.0","1461.53846153846","1400.0","1384.61538461538","1372.0","1460.0","1833.33333333333","1911.11111111111","1829.41176470588","1750.0","1800.142542","1752.94117647059","1750.0","1800.0","1800.0","1780.0","1901.66666666667","1950.0","1809.09090909091","1821.42857142857","1831.25","1845.45454545455","1860.0","1783.33333333333","1800.0","1820.0","1830.0","1835.0","1840.0","1850.0","1900.0","1900.0","1960.0","2023.33333333333","2200.0","2230.0","2274.0","239.2","271.28"
"Air fare charg.for specified routes single journey","26000.0","25000.0","25000.0","25000.0","25000.0","25000.0","25000.0","25000.0","25000.0","26271.6810389805","26326.851569162358","26382.1379574576","26382.1379574576","26000.0","30000.0","30000.0","29800.54","29000.0","29000.0","29000.0","29000.0","29000.0","29000.0","29000.0","30000.0","30000.0","29800.0","30000.0","31000.0","31500.0","32000.0","33000.0","33000.0","34000.0","34000.0","34500.0","32005.85","32500.0","32500.0","32300.0","32300.0","32350.0","32400.0","32380.0","32400.0","32420.0","32430.0","32550.0","32650.0","32700.0","32000.0","32000.0","32000.0","32000.0","36000.0","37600.0"
"Journey by motorcycle (okada) per drop","85.8055555555555","97.3181818181815","98.75","101.736111111111","100.0","100.0","100.0","100.0","100.0","100.0","100.0","155.25","126.470588235294","125.882352941176","113.80952380952381","116.95652173913044","106.84210526315789","136.5","147.647058823529","145.0","142.777777777778","138.235294117647","124.28","197.666666666666","200.764705882352","194.782608695652","190.258","195.524161","185.590909090909","180.0","180.0","200.0","200.0","208.421052631579","210.0","186.111111111111","184.545454545455","189.047619047619","191.411764705882","191.0","187.647058823529","190.0","190.0","195.0","180.0","184.0","185.0","189.0","190.0","190.0","212.8125","231.0","235.0","240.0","258.3","293.14"
"Water transport : water way passenger  transportat","350.0","350.0","400.0","550.0","475.0","450.0","450.0","500.0","501.05","532.375663893265","532.375663893265","632.3756638932655","570.0","600.0","600.0","600.0","600.0","650.0","650.0","670.0","666.666666666667","650.0","700.0","650.0","750.0","800.0","737.5","750.222541","720.6","720.0","720.0","725.0","730.0","700.0","715.0","550.0","515.2","560.0","550.0","550.0","650.0","600.0","600.0","620.0","640.0","644.0","650.0","700.0","700.0","715.0","685.0","700.0","700.0","720.0","768.4","768.8"
