"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","55.0","57.55","51.666666666667","51.766666666667","56.833333333333705","55.908000000000364","62.51666666666708","61.49880000000041","68.76833333333379","67.64868000000045","75.64516666666717","105.87","99.89","83.33333333333333","88.6666666666667","89.0","86.66666666666667","100.0","106.666666666667","118.75","119.0","118.571428571429","102.54133792788565","150.0","156.25","150.0","125.0","130.12457","135.6","140.0","140.0","160.818181818182","160.95","156.25","160.0","158.0","153.571428571428","140.66666666666666","148.6","146.0","141.0","143.0","145.0","148.0","150.0","153.0","155.0","158.0","160.0","166.0","170.0","170.0","180.0","183.0","194.3","210.63"
"Bus journey intercity, state route, charg. per per","591.6666666666665","591.6666666666665","585.0","611.6666666666665","611.6666666666665","662.4999999999995","850.0","850.0","1002.8618055438125","1200.5","1345.0","1500.22","1350.0","1037.5","1400.0","1390.0","1350.0","1301.66666666666","1344.0","1290.0","1280.0","1244.44444444444","1324.017898960888","1516.66666666666","1607.5","1500.0","1355.0","1400.0","1360.8","1360.0","1400.0","1650.0","1680.0","1787.5","1700.0","1565.0","1461.764705882353","1538.8","1500.0","1520.0","1604.0","1550.0","1600.0","1560.0","1562.0","1565.0","1568.0","1570.0","1585.0","1587.0","1666.66666666667","1666.66666666667","1685.0","1689.0","1700.0","1790.8"
"Air fare charg.for specified routes single journey","25000.0","25000.0","25000.0","25000.0","25000.0","25000.0","25000.0","25000.0","32203.06293421935","32203.06293421935","32203.06293421935","33500.45","33500.45","33500.45","33000.0","33000.0","33666.6666666667","33070.0","32000.0","32075.0","32500.0","34000.0","34000.0","35000.0","36500.0","35000.0","35000.0","35000.223145","34500.0","34550.0","34600.0","35375.0","35370.0","36500.0","36000.0","28000.0","27505.35","28000.0","27600.0","27600.0","26020.0","26000.0","26200.0","26300.0","26200.0","26250.0","26300.0","26400.0","26450.0","26470.0","25700.0","25700.0","25700.0","25700.0","35700.0","37700.0"
"Journey by motorcycle (okada) per drop","65.8333333333333","60.0","71.78571428571425","76.66666666666666","85.8333333333333","78.75","81.25","84.5833333333333","73.91746882411005","80.2355827987188","74.0","85.0","77.5","65.55555555555556","62.5","77.77777777777777","76.25","77.89","77.77777777777777","78.0","81.11111111111111","76.36363636363636","72.5","78.57142857142857","86.25","85.0","75.0","80.125473","76.6666666666667","80.0","80.0","84.5454545454545","85.0","66.25","70.0","67.5","63.68421052631579","67.5","77.0","75.0","75.0","78.0","79.0","80.0","80.0","87.0","90.0","96.0","95.0","98.0","90.0","90.0","94.0","97.0","100.0","150.37"
"Water transport : water way passenger  transportat","100.0","100.21","100.420441","100.6313239261","100.8426497063448","101.05441927072812","101.26663355119665","101.47929348165415","150.0","150.0","150.0","200.25","150.0","150.0","170.56","171.0","171.99","173.0","173.0","172.89","180.0","175.55","173.4758360517781","170.475836051778","180.0","180.0","175.0","180.231456","177.58410356","180.0","180.0","200.0","200.0","200.0","220.0","185.0","180.3","170.0","170.0","170.0","183.0","180.0","180.0","183.0","185.0","190.0","190.0","197.0","198.0","198.0","190.0","190.0","193.0","196.0","199.5","200.0"
