"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","80.7142857142857","87.76785714285711","73.80952380952375","96.6666666666665","84.7142857142857","73.8181818181818","73.8181818181818","121.607142857143","114.28571428571425","109.36674619853801","128.57142857142824","130.523809523809","130.6543333333328","130.833333333333","122.222222222222","116.66666666666667","102.857142857142","100.22","104.615384615384","100.333333333333","114.0","116.25","122.22222222222223","212.5","250.0","225.2","250.0","240.0","235.54000000000002","235.5","240.0","291.230769230769","280.0","113.84615384615384","150.0","129.285714285714","121.111111111111","129.9","131.75","130.7","140.666666666666","138.5","145.75","146.0","144.0","148.0","146.0","149.0","145.0","147.0","156.6","162.0","161.0","177.69","181.5","183.12"
"Bus journey intercity, state route, charg. per per","580.5555555555554","408.730158730158","416.9642857142855","535.4166666666665","463.0952380952375","503.33333333333303","560.333333333333","428.5714285714285","450.65","593.094784216536","407.142857142857","628.571428571428","593.3333333333334","683.333333333333","775.0","850.0","1093.3333333333333","1100.55","1203.33333333333","1106.66666666666","1387.5","1362.5","1202.8803793768911","1556.81818181818","1642.85714285714","1576.66666666666","1555.45","1600.0","1577.3722222222198","1577.3","1580.0","1592.85714285714","1595.5","1507.14285714285","1000.0","1371.875","1289.47368421052","1303.84615384615","1310.0","1320.0","1350.0","1350.0","1348.0","1350.0","1340.0","1350.0","1353.0","1400.0","1400.0","1395.0","1437.5","1550.0","1557.0","1582.0","1594.3","1610.0"
"Air fare charg.for specified routes single journey","25000.0","25052.5","25105.11025","25157.830981525","25210.6624265862","25263.604817682033","30000.0","30063.0","30126.1323","23463.3507394951","23512.62377604804","33562.0002859777","33562.0002859777","33562.0002859777","34650.0","35000.0","34500.0","35000.0","35000.0","34500.0","34700.0","34700.0","34700.0","33451.3568154834","35000.0","35000.0","33000.0","34000.0","33800.0","33500.0","33500.0","33500.0","33750.0","33650.0","33800.0","33800.0","32152.651","33519.7","33536.1755","33539.0","33181.4","33200.0","33250.0","33320.0","33350.0","33390.0","33400.0","33500.0","33550.0","33600.0","33550.0","33550.0","33550.0","33550.0","35550.0","38350.0"
"Journey by motorcycle (okada) per drop","132.777777777777","103.8888888888885","105.0","124.333333333333","128.9393939393935","102.916666666666","107.5","108.125","116.428571428571","141.19","129.444444444444","152.7777777777775","155.384615384615","151.25","125.0","152.85714285714286","159.0909090909091","159.58","159.33545454545455","152.0","157.777777777778","124.61538461538461","125.0","142.941176470588","151.818181818182","150.166666666667","145.25","140.0","145.138888888889","146.0","140.0","145.0","150.0","125.38461538461539","145.0","141.875","136.5","134.55","140.0","135.0","133.333333333333","135.0","135.0","138.0","136.0","136.0","137.0","138.0","140.0","142.0","138.181818181818","150.0","152.0","160.0","168.0","168.0"
"Water transport : water way passenger  transportat","350.23","352.05119600000006","353.8818622192001","355.72204790274","357.57180255183425","359.43117592510384","361.3002180399144","363.178979173722","365.0675098654254","366.96586091672566","368.87408339349264","370.79222862713885","371.163020855766","371.263020855766","340.34","350.0","330.33","340.16499999999996","340.2475","325.13","320.0","320.0","329.2038694335867","343.892229710001","350.0","350.0","320.0","340.0","336.6666666666667","340.0","340.0","338.8","335.0","350.0","350.0","350.0","325.55","340.33","332.94","335.0","333.41273103340666","255.0","280.0","270.0","275.0","275.0","278.0","280.0","280.0","284.0","280.0","300.0","300.0","320.0","330.0","345.0"
