"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","50.0","50.0","75.0","50.0","50.0","55.0","50.0","50.0","70.586489493264","70.586489493264","77.5","105.22","101.666666666666","90.0","106.666666666667","108.5","100.0","105.0","100.0","98.0","99.32","97.88","100.57789921709765","200.0","233.333333333333","230.0","220.0","225.321546","218.333333333333","220.0","200.0","220.0","225.0","300.0","280.0","250.0","245.95","250.0","250.0","247.0","250.0","249.0","250.0","255.0","259.0","257.0","259.0","263.0","260.0","261.0","300.0","348.0","150.0","153.0","170.2","180.18"
"Bus journey intercity, state route, charg. per per","966.666666666666","1000.0","1000.0","1057.14285714285","1000.0","1000.0","1075.0","1088.33333333333","1137.20076135489","1183.27132318833","1016.6666666666629","1349.99999999999","1275.0","1250.0","1346.66666666667","1442.85714285714","1537.5","1457.14285714286","1475.0","1357.14285714286","1300.0","1300.0","1371.0475556640592","1762.5","1825.0","1731.25","1560.0","1600.125473","1580.5","1585.0","1580.0","1655.0","1660.0","1900.0","1800.0","1771.42857142857","1728.57142857142","1690.0","1637.5","1685.0","1671.42857142857","1675.0","1680.0","1700.0","1720.0","1750.0","1760.0","1767.0","1770.0","1780.0","1760.0","1940.0","1946.0","1948.0","2030.0","2173.2"
"Air fare charg.for specified routes single journey","21000.0","21044.1","21088.292609999997","21132.578024480998","21176.956438332407","21221.428046852903","21265.993045751293","21310.65163114737","17852.32833784795","18770.6805915961","18810.099020838454","25000.0","25000.0","28000.0","28500.67","28600.0","28080.0","28340.0","28000.0","29540.33","29600.0","30000.0","30000.0","30000.0","30000.0","30000.0","30500.0","31000.0","30300.0","30400.0","30500.0","30500.0","30500.0","30500.0","31000.0","31000.0","30300.174","31000.5","31000.0","31450.0","31000.0","31000.0","31400.0","31350.0","32200.0","32300.0","32350.0","32390.0","32400.0","32450.0","32400.0","32400.0","32400.0","32400.0","35400.0","38400.0"
"Journey by motorcycle (okada) per drop","55.5681818181818","55.5","59.7619047619047","69.7619047619047","60.07575757575755","58.78571428571425","58.75","52.5","59.9445835464005","50.339444444444396","71.11111111111106","71.11111111111106","64.375","60.588235294117645","65.625","65.5555555555556","66.875","60.0","65.0","59.411764705882355","58.0","58.0","53.75","74.28571428571429","98.4210526315789","76.4444444444444","60.0","65.854612","64.61538461538461","65.0","65.0","78.4615384615385","75.0","62.142857142857146","65.0","64.28571428571429","55.125","60.666666666666664","60.833333333333336","60.0","62.857142857142854","61.5","65.0","63.0","60.0","65.0","68.0","70.0","70.0","72.0","76.0","84.0","82.0","86.0","97.5","100.25"
"Water transport : water way passenger  transportat","250.0","250.525","300.0","300.63","270.89","250.0","300.87","310.0","285.598674480844","232.369528099434","235.0","300.0","250.0","220.0","230.66","231.0","235.14","233.07","234.0","240.14","250.0","245.0","236.7307262168103","250.0","270.0","270.0","265.0","260.98654","263.19730799999996","265.0","260.0","260.0","250.0","200.0","200.0","200.0","202.38","200.0","220.0","225.0","220.0","222.0","220.0","225.0","221.0","224.0","227.0","228.0","220.0","230.0","230.0","250.0","253.0","257.0","286.2","299.17"
